TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
Bournemouth,Burnley,0,1,2.45,3.34,3.08
Brighton,Sheffield Utd,0,1,2.16,3.40,3.63
Newcastle,Crystal Palace,1,0,2.45,3.11,3.31
Norwich,Wolves,1,2,4.11,3.83,1.89
Everton,Arsenal,0,0,2.16,3.88,3.25
Crystal Palace,Brighton,1,1,2.80,3.26,2.71
Arsenal,Manchester City,0,3,6.83,6.07,1.40
Manchester Utd,Everton,1,1,1.66,4.05,5.52
Wolves,Tottenham,1,2,2.91,3.61,2.45
Southampton,West Ham,0,1,1.82,4.05,4.25
Burnley,Newcastle,1,0,2.00,3.48,4.08
Chelsea,Bournemouth,0,1,1.23,7.09,13.13
Leicester,Norwich,1,1,1.23,6.97,12.69
Sheffield Utd,Aston Villa,2,0,1.77,3.95,4.67
Liverpool,Watford,2,0,1.18,8.16,15.94
West Ham,Arsenal,1,3,3.71,4.23,1.93
Brighton,Wolves,2,2,2.64,3.22,2.93
Aston Villa,Leicester,1,4,5.01,4.26,1.67
Newcastle,Southampton,2,1,2.61,3.34,2.86
Norwich,Sheffield Utd,1,2,3.19,3.51,2.30
Manchester City,Manchester Utd,1,2,1.33,5.91,9.25
Bournemouth,Liverpool,0,3,6.71,4.72,1.50
Tottenham,Burnley,5,0,1.43,4.92,7.86
Watford,Crystal Palace,0,0,2.49,3.36,3.02
Everton,Chelsea,3,1,3.34,3.81,2.14
Arsenal,Brighton,1,2,1.66,4.36,5.10
Sheffield Utd,Newcastle,0,2,1.79,3.55,5.25
Liverpool,Everton,5,2,1.62,4.15,5.82
Chelsea,Aston Villa,2,1,1.35,5.81,8.72
Leicester,Watford,2,0,1.36,5.49,8.70
Manchester Utd,Tottenham,2,1,2.60,3.44,2.85
Southampton,Norwich,2,1,1.78,3.94,4.61
Wolves,West Ham,2,0,1.69,3.99,5.33
Burnley,Manchester City,1,4,11.94,7.02,1.25
Crystal Palace,Bournemouth,1,0,2.22,3.48,3.41
Leicester,Everton,2,1,1.60,4.21,5.89
Manchester Utd,Aston Villa,2,2,1.45,4.85,7.45
Norwich,Arsenal,2,2,4.43,4.46,1.73
Wolves,Sheffield Utd,1,1,2.26,3.12,3.72
Southampton,Watford,2,1,2.10,3.58,3.62
Burnley,Crystal Palace,0,2,2.04,3.47,3.93
Chelsea,West Ham,0,1,1.29,6.37,10.26
Liverpool,Brighton,2,1,1.21,7.44,15.44
Tottenham,Bournemouth,3,2,1.33,5.78,9.37
Newcastle,Manchester City,2,2,12.94,8.09,1.21
Aston Villa,Newcastle,2,0,2.21,3.50,3.41
Sheffield Utd,Manchester Utd,3,3,3.98,3.39,2.08
Manchester City,Chelsea,2,1,1.39,5.70,7.51
Arsenal,Southampton,2,2,1.46,4.91,7.07
Bournemouth,Wolves,1,2,3.01,3.26,2.54
Brighton,Leicester,0,2,3.91,3.62,2.00
Crystal Palace,Liverpool,1,2,6.99,4.60,1.50
Everton,Norwich,0,2,1.37,5.45,8.58
Watford,Burnley,0,3,2.26,3.33,3.46
West Ham,Tottenham,2,3,4.76,4.42,1.68
Liverpool,Manchester City,3,1,2.66,3.69,2.64
Manchester Utd,Brighton,3,1,1.63,3.88,6.28
Wolves,Aston Villa,2,1,1.70,3.84,5.45
Leicester,Arsenal,2,0,1.91,4.04,3.86
Burnley,West Ham,3,0,2.17,3.65,3.37
Newcastle,Bournemouth,2,1,2.58,3.27,2.95
Southampton,Everton,1,2,3.24,3.40,2.33
Tottenham,Sheffield Utd,1,1,1.53,4.42,6.72
Chelsea,Crystal Palace,2,0,1.44,4.89,7.71
Norwich,Watford,0,2,2.91,3.64,2.42
Everton,Tottenham,1,1,2.53,3.63,2.78
Crystal Palace,Leicester,0,2,3.72,3.51,2.09
Watford,Chelsea,1,2,5.20,4.39,1.64
Sheffield Utd,Burnley,3,0,2.30,3.23,3.48
West Ham,Newcastle,2,3,1.82,3.83,4.50
Arsenal,Wolves,1,1,1.77,3.94,4.76
Aston Villa,Liverpool,1,2,9.73,6.14,1.31
Brighton,Norwich,2,0,1.58,4.50,5.59
Manchester City,Southampton,2,1,1.08,14.25,33.25
Bournemouth,Manchester Utd,1,0,3.70,3.59,2.08
Arsenal,Crystal Palace,2,2,1.49,4.81,6.69
Liverpool,Tottenham,2,1,1.48,4.92,6.77
Norwich,Manchester Utd,1,3,4.71,3.81,1.80
Newcastle,Wolves,1,1,3.42,3.10,2.40
Burnley,Chelsea,2,4,5.23,4.12,1.68
Brighton,Everton,3,2,2.67,3.35,2.79
Watford,Bournemouth,0,0,2.26,3.60,3.20
West Ham,Sheffield Utd,1,1,2.27,3.44,3.31
Manchester City,Aston Villa,3,0,1.08,13.94,28.50
Southampton,Leicester,0,9,3.17,3.38,2.38
Sheffield Utd,Arsenal,1,0,3.85,3.60,2.03
Manchester Utd,Liverpool,1,1,4.19,3.57,1.97
Crystal Palace,Manchester City,0,2,12.69,7.58,1.22
Aston Villa,Brighton,2,1,2.36,3.52,3.10
Bournemouth,Norwich,0,0,1.75,4.30,4.44
Chelsea,Newcastle,1,0,1.28,6.20,11.00
Leicester,Burnley,2,1,1.49,4.51,7.16
Tottenham,Watford,1,1,1.50,4.59,6.78
Wolves,Southampton,1,1,2.05,3.34,4.11
Everton,West Ham,2,0,1.80,4.06,4.35
Newcastle,Manchester Utd,1,0,4.00,3.36,2.07
Arsenal,Bournemouth,1,0,1.36,5.87,7.95
Manchester City,Wolves,0,2,1.13,9.71,22.25
Southampton,Chelsea,1,4,4.77,4.32,1.70
West Ham,Crystal Palace,1,2,2.00,3.69,3.81
Burnley,Everton,1,0,3.19,3.29,2.42
Liverpool,Leicester,2,1,1.59,4.41,5.79
Norwich,Aston Villa,1,5,2.43,3.65,2.89
Watford,Sheffield Utd,0,0,2.38,3.28,3.26
Brighton,Tottenham,3,0,5.10,3.97,1.72
Manchester Utd,Arsenal,1,1,2.26,3.62,3.23
Leicester,Newcastle,5,0,1.53,4.23,7.04
Everton,Manchester City,1,3,8.61,5.79,1.36
Aston Villa,Burnley,2,2,2.31,3.45,3.22
Bournemouth,West Ham,2,2,2.40,3.67,2.92
Chelsea,Brighton,2,0,1.43,4.93,8.00
Crystal Palace,Norwich,2,0,1.92,3.85,4.02
Tottenham,Southampton,2,1,1.38,5.27,8.74
Wolves,Watford,2,0,1.94,3.48,4.37
Sheffield Utd,Liverpool,0,1,9.29,5.54,1.35
Arsenal,Aston Villa,3,2,1.43,5.21,7.21
Chelsea,Liverpool,1,2,3.38,3.80,2.14
Crystal Palace,Wolves,1,1,2.75,3.15,2.85
West Ham,Manchester Utd,2,0,3.14,3.58,2.31
Newcastle,Brighton,0,0,2.41,3.25,3.24
Burnley,Norwich,2,0,2.04,3.77,3.63
Everton,Sheffield Utd,0,2,1.77,3.62,5.24
Manchester City,Watford,8,0,1.10,11.69,26.00
Leicester,Tottenham,2,1,2.80,3.48,2.60
Southampton,Bournemouth,1,3,2.21,3.57,3.33
Aston Villa,West Ham,0,0,2.75,3.61,2.55
Watford,Arsenal,2,2,4.17,3.93,1.86
Bournemouth,Everton,3,1,3.45,3.57,2.16
Norwich,Manchester City,3,2,26.75,12.50,1.10
Brighton,Burnley,1,1,2.13,3.42,3.68
Manchester Utd,Leicester,1,0,2.11,3.40,3.79
Sheffield Utd,Southampton,0,1,2.48,3.31,3.05
Tottenham,Crystal Palace,4,0,1.41,5.14,7.88
Wolves,Chelsea,2,5,3.08,3.43,2.41
Liverpool,Newcastle,3,1,1.20,7.94,13.75
Arsenal,Tottenham,2,2,2.58,3.70,2.72
Everton,Wolves,3,2,2.06,3.31,4.09
Burnley,Liverpool,0,3,9.30,5.42,1.36
Chelsea,Sheffield Utd,2,2,1.42,4.86,8.65
Crystal Palace,Aston Villa,1,0,2.26,3.45,3.33
Leicester,Bournemouth,3,1,1.66,4.09,5.37
Manchester City,Brighton,4,0,1.10,11.44,31.25
Newcastle,Watford,1,1,2.51,3.24,3.08
