Result,League,Time,TeamHome,TeamAway,ManagerHome,ManagerAway,FormationHome,FormationAway,Stadium,Referee,RatingStartTeamHome,RatingSubstitutionHome,RatingStartTeamAway,RatingSubstitutionAway,RatingStartTeamHome3,RatingSubstitutionHome3,RatingStartTeamAway3,RatingSubstitutionAway3,GPP_StartHome,GPP_SubsHome,GPP_StartAway,GPP_SubsAway,GoalsTeamHome,AssistsTeamHome,GoalsTeamAway,AssistsTeamAway,FormTeamHome3,FormTeamAway3,FormTeamHome6,FormTeamAway6,RatingTeamHome,RatingTeamAway,TotalShotsHome,TotalShotsAway,PossessionHome,PossessionAway,PassAccuracyHome,PassAccuracyAway,DribblesHome,DribblesAway,AerialsWonHome,AerialsWonAway,TacklesHome,TacklesAway,CornersHome,CornersAway,DispossessedHome,DispossessedAway,YellowCardHome,YellowCardAway,RedCardHome,RedCardAway,RatingTeamHomeA,RatingTeamAwayA,TotalShotsHomeA,TotalShotsAwayA,PossessionHomeA,PossessionAwayA,PassAccuracyHomeA,PassAccuracyAwayA,DribblesHomeA,DribblesAwayA,AerialsWonHomeA,AerialsWonAwayA,TacklesHomeA,TacklesAwayA,CornersHomeA,CornersAwayA,DispossessedHomeA,DispossessedAwayA,YellowCardHomeA,YellowCardAwayA,RedCardHomeA,RedCardAwayA,RatingTeamHome3,RatingTeamAway3,TotalShotsHome3,TotalShotsAway3,PossessionHome3,PossessionAway3,PassAccuracyHome3,PassAccuracyAway3,DribblesHome3,DribblesAway3,AerialsWonHome3,AerialsWonAway3,TacklesHome3,TacklesAway3,CornersHome3,CornersAway3,DispossessedHome3,DispossessedAway3,YellowCardHome3,YellowCardAway3,RedCardHome3,RedCardAway3,RatingTeamHome3A,RatingTeamAway3A,TotalShotsHome3A,TotalShotsAway3A,PossessionHome3A,PossessionAway3A,PassAccuracyHome3A,PassAccuracyAway3A,DribblesHome3A,DribblesAway3A,AerialsWonHome3A,AerialsWonAway3A,TacklesHome3A,TacklesAway3A,CornersHome3A,CornersAway3A,DispossessedHome3A,DispossessedAway3A,YellowCardHome3A,YellowCardAway3A,RedCardHome3A,RedCardAway3A,PHome,WHome,DHome,LHome,GFHome,GAHome,GDHome,PointsHome,PlaceHome,PAway,WAway,DAway,LAway,GFAway,GAAway,GDAway,PointsAway,PlaceAway,FutureTeamHome,FuturePlaceTeamHome,FutureStatusTeamHome,FutureTeamAway,FuturePlaceTeamAway,FutureStatusTeamAway
0,2,14.0,30,27,76,73,5,13,50,38,6.045,5.758,6.785,5.092,6.048,5.643,7.206,4.814,22.727,19.000,20.545,17.571,34,16,24,13,66.67,88.89,72.22,61.11,6.826,6.660,14.385,12.923,50.892,54.362,76.769,81.846,11.154,11.154,22.923,16.000,19.538,15.385,6.231,5.692,9.154,10.308,20.000,28.000,0.000,0.000,6.708,6.783,13.657,14.855,50.382,55.431,76.456,81.888,9.827,11.577,23.247,15.822,18.662,15.621,5.973,5.346,8.899,11.369,27.000,25.000,1.500,0.000,7.007,6.610,15.000,9.333,51.767,45.600,78.667,81.333,10.000,12.667,24.667,12.667,18.667,13.333,4.667,5.667,6.000,14.000,3.000,6.000,0.000,0.000,6.845,6.754,14.166,14.833,51.767,55.117,79.000,83.000,8.834,12.500,24.167,16.500,19.834,15.000,4.500,4.833,7.667,13.834,5.500,4.500,0.500,0.000,27,10,6,11,36,41,-5,36,12,27,11,8,8,41,29,12,41,6,29,4,2,28,2,1
-1,2,14.0,32,37,78,83,9,9,51,39,5.926,5.025,6.701,4.410,6.297,4.595,7.155,4.319,20.182,14.000,24.545,17.714,18,12,34,24,66.67,77.78,61.11,66.67,6.884,6.813,13.308,12.846,54.069,43.877,81.923,75.846,12.308,13.231,16.692,20.538,16.308,19.000,5.769,6.077,11.154,8.538,26.000,28.000,2.000,2.000,6.795,6.831,12.119,12.851,52.184,47.378,80.319,77.709,12.654,13.866,17.024,20.447,17.690,17.572,5.063,5.431,12.113,8.769,29.500,24.000,1.500,1.000,6.877,6.920,10.333,13.000,38.900,49.133,77.667,76.000,12.000,17.667,13.333,19.000,15.000,21.333,4.333,5.333,11.333,7.000,2.000,5.000,0.000,0.000,6.847,6.938,12.500,13.834,45.300,45.733,78.834,76.834,13.500,16.500,15.833,18.334,18.334,20.833,4.667,4.833,12.500,7.667,3.500,4.500,0.000,0.000,27,11,7,9,44,36,8,40,7,27,9,12,6,38,32,6,39,8,31,9,2,38,15,1
1,2,17.5,36,43,82,89,1,2,52,28,6.446,5.404,6.889,4.490,6.597,4.829,6.909,3.590,22.455,19.571,23.636,14.714,24,14,55,42,22.22,100.0,38.89,100.0,6.699,6.970,14.308,14.692,45.192,63.969,75.462,83.308,9.846,9.615,20.154,18.385,16.154,14.077,5.077,5.615,8.692,7.769,33.000,16.000,2.000,0.000,6.617,7.033,11.439,15.918,42.806,62.049,73.410,82.976,9.245,10.200,20.398,17.907,17.791,15.431,4.538,6.522,8.631,8.170,31.000,13.000,1.500,0.500,6.757,6.893,11.667,14.333,40.833,62.500,70.333,85.333,9.333,9.333,30.333,12.667,17.667,14.667,3.667,6.000,8.667,7.333,7.000,3.000,1.000,0.000,6.628,7.111,9.167,16.666,38.800,61.916,69.666,82.666,8.500,11.333,25.333,15.500,19.167,17.167,3.500,8.500,8.834,8.166,6.000,2.000,0.500,0.000,27,5,9,13,24,43,-19,24,19,27,26,1,0,64,17,47,79,1,35,11,2,44,16,1
1,2,15.0,34,39,80,85,5,5,53,33,6.376,5.535,5.913,5.467,6.382,4.790,6.270,4.843,19.000,20.857,22.000,21.143,29,20,29,12,22.22,33.33,22.22,50.0,6.722,6.753,11.462,13.462,46.269,45.223,78.538,69.846,10.615,10.692,21.615,21.231,19.615,19.231,5.077,5.846,8.615,11.154,27.000,24.000,0.000,0.000,6.697,6.654,10.159,13.159,44.909,47.008,75.697,70.566,11.343,11.168,22.022,21.437,19.272,19.187,5.038,5.423,8.915,9.970,26.000,21.500,0.500,1.000,6.640,6.773,10.333,16.000,37.767,45.300,74.667,63.667,9.333,11.000,26.667,24.333,18.667,21.000,4.667,7.667,10.000,10.333,4.000,7.000,0.000,0.000,6.551,6.743,7.833,16.166,33.233,49.650,71.334,67.500,10.500,11.166,22.834,25.333,16.500,17.500,5.167,6.167,9.334,8.333,4.500,6.000,0.000,0.000,27,6,6,15,32,48,-16,24,19,27,10,4,13,34,48,-14,34,13,33,10,2,40,14,1
0,2,15.0,44,29,90,75,2,0,54,34,6.420,5.448,5.676,5.398,5.918,5.586,5.979,4.833,22.182,20.857,22.000,16.000,24,13,24,21,33.33,55.56,33.33,55.56,6.667,6.884,10.538,15.000,43.623,58.331,73.769,83.692,7.154,13.615,19.462,16.923,12.538,17.846,4.538,5.231,8.462,12.077,26.000,26.000,2.000,0.000,6.639,6.867,10.447,16.285,46.115,59.512,74.956,84.239,8.399,12.843,20.981,18.533,13.447,17.745,4.804,6.544,10.053,11.610,29.000,25.000,1.500,0.000,6.740,6.743,12.333,14.000,43.667,57.500,69.333,81.333,6.667,11.333,26.333,19.000,10.000,18.333,3.667,6.333,9.000,13.333,5.000,6.000,1.000,0.000,6.569,6.728,10.833,15.834,44.767,56.933,71.166,83.666,6.167,11.166,26.000,18.000,11.834,19.500,3.833,8.000,9.334,12.166,6.500,6.500,1.000,0.000,27,7,5,15,26,43,-17,26,16,27,13,5,9,45,37,8,44,4,43,1,2,30,12,1
0,2,15.0,40,31,86,77,5,5,55,40,6.207,5.646,6.299,4.669,6.088,5.338,6.964,4.093,20.455,16.571,24.364,20.286,18,8,26,21,22.22,88.89,50.0,77.78,6.821,6.612,11.692,8.769,36.577,37.700,72.692,65.077,11.692,5.077,24.462,24.692,16.462,13.538,4.154,3.769,6.769,7.923,22.000,29.000,1.000,0.000,6.670,6.711,9.881,10.063,35.499,39.829,73.560,67.145,10.811,6.646,20.695,25.096,16.088,14.376,3.577,4.706,7.563,7.640,22.500,25.000,1.500,0.000,6.690,6.807,9.000,7.000,32.300,32.900,72.333,63.000,8.667,6.667,20.667,22.667,14.333,14.667,4.333,2.333,5.333,7.667,4.000,7.000,0.000,0.000,6.550,6.980,9.000,10.000,38.233,38.000,75.833,67.500,10.334,7.833,18.167,23.500,14.333,17.000,4.667,3.833,7.167,8.334,5.500,6.500,0.500,0.000,27,8,7,12,24,41,-17,31,14,27,11,4,12,33,39,-6,37,10,39,13,2,32,7,1
-1,2,12.5,38,35,84,81,1,10,56,32,6.284,5.215,6.358,5.180,6.073,5.448,6.676,4.771,23.455,21.714,23.455,21.429,26,19,21,11,66.67,33.33,44.44,38.89,6.717,6.662,13.000,7.692,57.008,45.985,80.538,75.308,9.154,11.615,21.308,22.231,17.308,16.615,4.923,3.462,11.385,11.308,18.000,19.000,1.000,0.000,6.677,6.708,12.822,9.739,55.394,44.828,80.912,75.119,9.255,11.772,19.154,21.401,17.226,17.379,4.497,4.516,10.692,12.119,21.000,21.500,1.000,0.500,6.600,6.607,12.000,9.000,56.733,46.767,79.667,74.000,7.333,12.000,27.333,22.000,17.667,16.333,3.667,4.333,15.333,13.333,7.000,3.000,0.000,0.000,6.633,6.640,14.166,10.666,55.683,48.267,78.667,73.334,8.666,11.834,25.333,25.000,17.167,17.500,4.500,4.833,12.500,12.500,5.500,4.500,0.000,0.000,27,6,10,11,32,39,-7,28,15,27,8,9,10,24,32,-8,33,13,37,8,2,36,18,1
1,2,20.0,42,25,88,71,1,10,57,41,6.478,5.001,6.544,4.916,6.406,4.462,6.606,4.657,22.364,14.143,24.636,25.000,23,11,35,31,22.22,44.44,27.78,38.89,6.675,6.989,12.231,13.538,49.500,56.123,79.769,81.692,11.538,10.769,13.846,17.231,18.154,19.692,4.846,4.923,9.692,9.077,24.000,18.000,1.000,1.000,6.604,6.940,11.580,13.733,50.157,56.283,80.135,81.739,11.947,10.777,14.316,16.973,16.755,19.596,4.566,5.604,11.061,8.431,26.500,14.500,0.500,0.500,6.797,6.957,12.000,14.667,47.767,63.767,79.000,84.667,9.333,8.667,16.000,22.667,20.000,20.333,2.667,3.333,9.333,8.333,8.000,5.000,1.000,1.000,6.665,6.900,12.334,14.500,51.617,56.700,80.334,82.334,10.500,10.167,15.834,19.667,18.334,19.500,4.000,4.000,11.166,7.333,6.500,4.000,0.500,0.500,27,4,6,17,24,51,-27,18,20,27,15,5,7,54,27,27,50,3,41,6,2,26,17,1
1,2,20.0,43,34,89,80,2,1,49,31,6.784,5.233,6.381,5.608,7.088,4.433,6.345,4.705,23.273,17.857,17.636,18.286,53,40,27,17,100.0,22.22,100.0,22.22,7.080,6.658,16.538,9.000,59.423,44.538,82.462,73.385,10.385,11.462,17.000,22.231,16.308,18.923,6.769,4.769,8.615,9.231,10.000,22.000,1.000,1.000,7.025,6.690,15.615,10.231,61.696,45.403,82.885,75.962,10.000,11.038,17.693,21.923,15.192,19.269,6.192,4.923,8.192,8.923,13.000,24.500,0.500,0.500,7.253,6.357,17.000,5.333,63.167,36.167,81.667,70.333,10.667,11.000,16.667,23.000,14.000,13.333,8.333,4.000,9.333,8.667,1.000,2.000,0.000,0.000,7.073,6.498,15.666,7.833,62.834,36.967,83.500,72.500,10.000,10.166,14.667,24.834,14.334,16.000,7.167,4.333,8.333,9.334,2.000,3.000,0.000,0.000,26,25,1,0,61,15,46,76,1,26,6,6,14,30,45,-15,24,19,36,18,2,39,12,1
1,2,16.5,33,30,79,76,1,5,44,39,6.248,5.557,6.191,5.472,6.412,5.643,6.461,5.452,17.818,22.429,21.636,19.714,32,18,31,14,77.78,88.89,77.78,72.22,6.831,6.592,13.231,12.615,55.346,49.962,83.538,75.462,12.538,8.692,13.923,23.923,17.462,17.538,7.231,5.923,9.231,8.846,35.000,30.000,1.000,3.000,6.726,6.709,11.308,13.500,55.316,50.427,83.423,76.115,11.923,9.923,13.269,23.423,16.462,18.538,6.269,6.077,9.923,9.000,32.000,25.000,1.500,1.500,7.127,6.707,12.000,10.000,59.400,47.067,85.667,76.667,12.333,9.000,15.000,27.000,14.667,18.667,3.333,5.333,7.000,9.000,5.000,8.000,0.000,1.000,6.860,6.857,9.666,12.500,55.666,49.417,82.334,77.667,10.666,9.500,14.500,25.834,16.500,18.667,4.333,5.000,9.000,7.500,6.000,5.500,1.000,0.500,26,7,13,6,36,34,2,34,12,26,10,6,10,34,38,-4,36,10,34,19,1,27,5,1
