TeamHome,TeamAway,ResultTeamHome,ResultTeamAway,Bet1,BetX,Bet2
Orenburg,Lokomotiv Moscow,2,3,3.44,3.26,2.25
Tambov,FK Rostov,2,1,4.94,3.52,1.80
Zenit,Rubin Kazan,5,0,1.29,5.54,11.50
Akhmat Grozny,FK Krylya Sovetov Samara,1,1,2.04,3.29,4.06
Ufa,Spartak Moscow,1,0,3.45,3.10,2.34
FK Rostov,Akhmat Grozny,2,1,1.66,3.74,5.78
Dynamo Moscow,Ufa,0,0,1.59,3.80,6.82
Krasnodar,FK Krylya Sovetov Samara,4,2,1.47,4.53,7.10
Tambov,CSKA Moscow,0,2,7.37,4.23,1.50
Orenburg,Rubin Kazan,2,1,2.07,3.29,3.90
Sochi,Lokomotiv Moscow,0,1,4.66,3.51,1.84
Spartak Moscow,Ural,1,2,1.51,4.26,7.16
Zenit,Arsenal Tula,3,1,1.31,5.29,11.06
Spartak Moscow,Zenit,0,1,3.39,3.45,2.21
Arsenal Tula,CSKA Moscow,1,2,4.58,3.43,1.89
Ural,Krasnodar,2,4,3.55,3.59,2.08
Akhmat Grozny,Tambov,1,1,1.99,3.26,4.28
Lokomotiv Moscow,FK Rostov,1,2,1.75,3.58,5.31
Rubin Kazan,Sochi,0,3,2.10,3.16,4.02
Ufa,Orenburg,1,2,2.42,2.91,3.51
FK Krylya Sovetov Samara,Dynamo Moscow,0,0,3.67,3.17,2.20
Ural,Sochi,3,1,2.37,3.20,3.25
Arsenal Tula,Orenburg,2,1,2.06,3.24,4.03
FK Rostov,Rubin Kazan,2,1,1.88,3.32,4.79
FK Krylya Sovetov Samara,Spartak Moscow,1,2,2.99,3.23,2.53
CSKA Moscow,Akhmat Grozny,3,0,1.56,3.87,7.12
Krasnodar,Lokomotiv Moscow,1,1,2.76,3.33,2.67
Ufa,Zenit,1,0,5.78,3.65,1.69
Tambov,Dynamo Moscow,0,2,4.16,3.18,2.05
Spartak Moscow,CSKA Moscow,2,1,2.67,3.27,2.80
Dynamo Moscow,Lokomotiv Moscow,1,2,3.35,3.14,2.38
Ufa,FK Rostov,2,0,3.07,3.00,2.62
Rubin Kazan,Arsenal Tula,1,0,2.30,3.03,3.60
Zenit,Akhmat Grozny,0,0,1.33,5.19,10.81
Tambov,Krasnodar,0,2,5.07,3.62,1.77
Ural,FK Krylya Sovetov Samara,1,3,2.30,3.23,3.39
Orenburg,Sochi,1,1,2.29,3.17,3.44
FK Rostov,FK Krylya Sovetov Samara,1,0,1.57,3.96,6.78
Akhmat Grozny,Spartak Moscow,1,3,2.43,3.39,3.03
CSKA Moscow,Sochi,0,0,1.37,4.79,9.80
Lokomotiv Moscow,Ural,4,0,1.41,4.53,9.15
Arsenal Tula,Ufa,1,0,2.14,3.20,3.85
Dynamo Moscow,Zenit,0,2,3.75,3.29,2.14
Krasnodar,Rubin Kazan,1,0,1.55,3.96,7.12
Orenburg,Tambov,2,2,1.95,3.37,4.38
Akhmat Grozny,Orenburg,2,1,1.82,3.49,4.88
Sochi,Ufa,0,0,2.36,3.13,3.33
Rubin Kazan,CSKA Moscow,0,1,4.08,3.27,2.05
Tambov,Arsenal Tula,0,1,2.74,3.09,2.84
Zenit,Krasnodar,1,1,1.71,4.09,4.80
Spartak Moscow,Dynamo Moscow,0,0,2.77,3.19,2.77
