Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
17:30,Jahn Regensburg,3,3,Osnabrueck,Nov 1 2019
12:00,St. Pauli,2,2,Karlsruher SC,Nov 2 2019
12:00,Greuther Fuerth,3,1,Darmstadt,Nov 2 2019
12:00,Erzgebirge Aue,1,1,FC Heidenheim,Nov 2 2019
12:30,Wehen,1,1,Hamburger SV,Nov 3 2019
12:30,Arminia Bielefeld,2,1,Holstein Kiel,Nov 3 2019
12:30,VfB Stuttgart,3,1,Dynamo Dresden,Nov 3 2019
19:30,Bochum,3,1,Nuernberg,Nov 4 2019
17:30,St. Pauli,1,1,Bochum,Nov 8 2019
17:30,Dynamo Dresden,1,0,Wehen,Nov 8 2019
12:00,Sandhausen,3,2,Greuther Fuerth,Nov 9 2019
12:00,Osnabrueck,1,0,VfB Stuttgart,Nov 9 2019
12:00,Holstein Kiel,1,1,Hamburger SV,Nov 9 2019
12:30,Darmstadt,2,2,Jahn Regensburg,Nov 10 2019
12:30,Nuernberg,1,5,Arminia Bielefeld,Nov 10 2019
12:30,FC Heidenheim,4,0,Hannover 96,Nov 10 2019
19:30,Karlsruher SC,1,1,Erzgebirge Aue,Nov 11 2019
17:30,Bochum,1,1,Osnabrueck,Nov 22 2019
17:30,Erzgebirge Aue,3,1,St. Pauli,Nov 22 2019
12:00,Wehen,3,6,Holstein Kiel,Nov 23 2019
12:00,Hamburger SV,2,1,Dynamo Dresden,Nov 23 2019
12:00,Arminia Bielefeld,1,1,Sandhausen,Nov 23 2019
12:30,Jahn Regensburg,3,1,FC Heidenheim,Nov 24 2019
12:30,Greuther Fuerth,0,0,Nuernberg,Nov 24 2019
12:30,VfB Stuttgart,3,0,Karlsruher SC,Nov 24 2019
19:30,Hannover 96,1,2,Darmstadt,Nov 25 2019
17:30,Osnabrueck,2,1,Hamburger SV,Nov 29 2019
17:30,Karlsruher SC,4,1,Jahn Regensburg,Nov 29 2019
12:00,St. Pauli,0,1,Hannover 96,Nov 30 2019
12:00,Bochum,2,0,Erzgebirge Aue,Nov 30 2019
12:00,Dynamo Dresden,1,2,Holstein Kiel,Nov 30 2019
12:00,Nuernberg,0,2,Wehen,Nov 30 2019
17:30,VfB Stuttgart,1,2,Wehen,Okt 4 2019
17:30,Darmstadt,1,1,Karlsruher SC,Okt 4 2019
