Name,Meta_data,Apps,Mins,Goals,Assists,Yel_card,Red_card,ShotsPerGame,PassSuccess,AerialWonPerGame,ManOfTheMatch,Rating
Habib Maïga,"Metz, 24, DMC",26,2271,1,2,7,-,1.1,83.5,1.5,1,7.00
Stanley N'Soki,"Nice, 21, D(CL)",14(3),1272,-,1,3,-,0.2,90,1.4,1,7.00
Julian Brandt,"Borussia Dortmund, 23, M(CLR),FW",16(8),1501,3,2,-,-,1,83.2,0.7,-,7.00
Nico Elvedi,"Borussia M.Gladbach, 23, D(CLR)",22(2),1956,1,-,3,-,0.3,91.4,2.7,-,7.00
Stefan de Vrij,"Inter, 28, D(C)",22(1),2005,2,3,3,-,0.7,91.5,2,-,7.00
Hernani,"Parma Calcio 1913, 26, M(CL)",21(2),1898,-,3,9,-,1.1,77.9,1.2,1,6.99
Domenico Criscito,"Genoa, 33, D(CL),M(L)",19,1629,7,-,6,-,0.9,79.3,1.3,-,6.99
Ferland Mendy,"Real Madrid, 24, D(L),M(L)",12(4),1130,-,1,4,1,0.4,85.9,1.1,-,6.99
Diego Rico,"Bournemouth, 27, D(L),M(L)",21,1796,-,2,6,-,0.4,67.3,1.1,1,6.99
Pierre-Emerick Aubameyang,"Arsenal, 30, M(LR),FW",26,2305,17,1,3,1,2.5,72,0.7,1,6.99
David Alaba,"Bayern Munich, 27, D(CL),M(C)",19(1),1788,1,1,-,-,0.8,90.2,0.7,-,6.99
John Fleck,"Sheffield United, 28, M(C)",25,2189,5,2,7,-,1.2,80.2,0.5,2,6.99
Omar Mascarell,"Schalke 04, 27, DMC",23,2029,-,1,4,-,0.4,85,2.5,-,6.99
Andrei Girotto,"Nantes, 28, D(C),DMC",25,2179,1,-,4,1,0.9,84.8,2.6,1,6.99
Boubacar Kamara,"Marseille, 20, D(CL),DMC",24,2141,1,2,7,1,0.6,85.7,2.3,1,6.99
Dimitri Lienard,"Strasbourg, 32, M(CL)",16(6),1490,2,3,3,-,1.5,83.5,0.7,2,6.98
Mateo Kovacic,"Chelsea, 25, M(CL)",18(7),1683,1,3,7,-,0.7,89.6,0.2,1,6.98
Faitout Maouassa,"Rennes, 21, D(L),M(L)",23,1813,3,1,3,-,0.5,76.7,0.7,1,6.98
Marcelo,"Lyon, 32, D(C)",17,1505,-,-,4,-,0.5,85.3,4.1,-,6.98
Felipe,"Atletico Madrid, 30, D(C)",20(1),1801,1,-,6,-,0.9,76.4,4,1,6.98
Federico Chiesa,"Fiorentina, 22, M(CLR),FW",23,1945,6,3,4,-,3.5,75.9,0.3,2,6.98
Berat Djimsiti,"Atalanta, 27, D(C)",21(1),1871,1,1,2,-,0.7,86.1,3.5,1,6.98
Hamari Traoré,"Rennes, 28, D(R),M(R)",27,2413,-,5,7,-,0.8,81.2,1.4,-,6.98
Maxwel Cornet,"Lyon, 23, M(LR),FW",14(8),1330,4,3,1,-,1.1,75.8,0.8,2,6.98
Marc Bartra,"Real Betis, 29, D(CR),DMC",22(1),1973,2,1,5,-,0.8,84.3,3.4,1,6.98
Mario Pasalic,"Atalanta, 25, M(C)",20(3),1672,5,5,4,-,1.8,88.7,1.3,1,6.98
Martin Hinteregger,"Eintracht Frankfurt, 27, D(C)",22,1980,6,1,5,-,1.6,74,2.8,-,6.98
Habib Diallo,"Metz, 24, FW",26,2199,12,3,2,1,2.9,66.7,4.3,3,6.97
Andrea Consigli,"Sassuolo, 33, GK",20,1800,-,-,1,-,-,74.9,0.3,2,6.97
Thiago Silva,"Paris Saint-Germain, 35, D(C)",20(1),1576,-,-,1,-,0.3,95.5,1.5,-,6.97
Andreas Cornelius,"Parma Calcio 1913, 27, FW",10(8),1009,8,1,1,-,1.8,67.5,4.2,3,6.97
Morgan Sanson,"Marseille, 25, M(CLR)",26(1),2186,5,4,5,-,1.4,86,0.5,2,6.97
Christopher Lenz,"Union Berlin, 25, D(L),M(L)",24,2119,-,3,1,-,0.6,72.7,1.8,1,6.97
Ben Chilwell,"Leicester, 23, D(L),M(L)",23,2060,2,3,2,-,0.6,78.2,2.2,-,6.97
Yeray Álvarez,"Athletic Bilbao, 25, D(C)",25,2250,-,-,2,-,0.4,77.9,3.4,1,6.97
Matt Doherty,"Wolverhampton Wanderers, 28, D(LR),M(R)",24(3),2151,4,1,1,-,1.1,74.1,3.7,2,6.97
Etienne Capoue,"Watford, 31, D(C),M(CL)",24,2140,-,2,7,-,0.8,82.5,1.8,1,6.97
Darío Benedetto,"Marseille, 29, FW",25(1),2115,11,-,4,-,2.3,66.3,2,4,6.97
Yangel Herrera,"Granada, 22, DMC",18(2),1577,2,2,9,-,1.2,76.4,2.1,1,6.97
Koke,"Atletico Madrid, 28, M(CLR)",21(1),1868,2,4,4,-,0.7,85.2,0.8,-,6.97
Dele Alli,"Tottenham, 23, M(CL),FW",20(2),1765,8,4,2,-,1.8,76.3,0.8,1,6.96
Sven Bender,"Bayer Leverkusen, 30, D(C),M(C)",25,2111,-,1,2,-,0.4,90.6,3.5,1,6.96
Karim Bellarabi,"Bayer Leverkusen, 30, M(CLR),FW",14(8),1242,4,4,1,-,2.3,76.4,0.1,1,6.96
Cengiz Ünder,"Roma, 22, AM(LR)",9(6),775,3,-,2,-,1.7,76.5,0.3,1,6.96
Lukas Klostermann,"RasenBallsport Leipzig, 23, D(CLR),M(R)",23,1971,2,1,-,-,0.4,83.8,1,-,6.96
Lucas Leiva,"Lazio, 33, D(C),M(C)",21(1),1703,-,1,7,1,0.5,86.4,1.5,-,6.96
Fabián Orellana,"Eibar, 34, AM(CLR)",24,2081,7,6,8,1,1.6,77,0.7,2,6.96
Thomas Strakosha,"Lazio, 25, GK",26,2340,-,-,1,-,-,76.2,0.2,-,6.96
Luuk de Jong,"Sevilla, 29, AM(C),FW",18(6),1618,5,1,2,-,1.9,68.7,4.9,2,6.96
Alexandre Oukidja,"Metz, 31, GK",27,2386,-,-,3,-,-,46,0.8,2,6.96
Hakan Calhanoglu,"AC Milan, 26, M(CLR),FW",23,1897,3,1,6,-,3,82.8,0.8,2,6.96
Enda Stevens,"Sheffield United, 29, D(CL),M(L)",28,2447,2,2,5,-,0.5,75.5,0.8,-,6.96
Joaquín,"Real Betis, 38, M(CLR),FW",21(5),1716,8,2,3,-,1,82.7,0.5,2,6.96
Sandro Tonali,"Brescia, 19, M(C)",23,2041,1,5,6,-,0.8,73.9,0.4,-,6.96
Ghislain Konan,"Reims, 24, D(L)",15(1),1333,-,1,-,1,0.1,79.3,1.4,1,6.96
Adama Traoré,"Metz, 24, AM(CR)",12(3),1011,1,4,1,-,1.1,86.6,0.8,1,6.96
José Campaña,"Levante, 26, M(CL)",26,2307,2,5,2,1,1.1,81.2,1.1,1,6.96
Maximilian Mittelstädt,"Hertha Berlin, 23, D(L),M(L)",16(5),1510,1,2,3,-,0.8,70.8,1.7,2,6.96
Iker Muniain,"Athletic Bilbao, 27, AM(CLR)",17(3),1580,4,2,-,1,1,86.4,0.5,1,6.96
Cristian Ansaldi,"Torino, 33, D(CLR),DMC,M(LR)",14(2),1177,4,3,7,-,1.8,78,0.4,1,6.96
Edouard Mendy,"Rennes, 28, GK",24,2160,-,-,1,-,-,70.1,0.7,2,6.95
Diego Godín,"Inter, 34, D(C)",12(4),1090,-,1,3,-,0.4,84.7,2.3,2,6.95
Hilton,"Montpellier, 42, D(C)",28,2511,-,2,2,-,0.5,80.3,3.2,-,6.95
Nicolas Höfler,"Freiburg, 30, D(C),DMC",22(1),1991,1,-,7,-,0.9,84.8,1.7,1,6.95
Robin Quaison,"Mainz 05, 26, M(CLR),FW",23(1),1989,12,2,1,-,2.5,71.1,0.9,2,6.95
Jonny Evans,"Leicester, 32, D(CL)",29,2576,1,1,5,-,0.7,86.7,2.8,-,6.95
Arthur,"Barcelona, 23, DMC",12(4),1006,3,3,1,-,0.5,91.2,0.1,-,6.95
Bertrand Traoré,"Lyon, 24, AM(R),FW",14(9),1254,1,3,6,-,1.6,82.2,0.7,1,6.95
Gerard Piqué,"Barcelona, 33, D(C)",25,2221,1,-,11,-,0.4,90.9,3.3,-,6.95
Dan Burn,"Brighton, 27, D(CL)",25,2149,-,-,4,-,0.4,76,4.1,1,6.95
Amine Harit,"Schalke 04, 22, AM(CLR)",23(1),2019,6,4,3,-,1.2,83.8,0.3,3,6.95
Oliver Norwood,"Sheffield United, 28, M(C)",28,2382,1,-,6,-,0.6,81.1,1.4,2,6.95
Thomas Meunier,"Paris Saint-Germain, 28, D(R),M(R)",14(2),1244,-,2,3,-,0.3,85.3,1.1,-,6.95
Alexandre Lacazette,"Arsenal, 28, M(LR),FW",15(5),1318,7,3,5,-,2,74.6,1,1,6.95
Jhon Córdoba,"FC Koln, 26, FW",15(6),1396,10,1,5,-,2.2,78.4,2.6,2,6.95
Luis Muriel,"Atalanta, 28, AM(CL),FW",9(13),914,13,-,-,-,2.5,71.4,0.7,2,6.95
Adrien Thomasson,"Strasbourg, 26, M(CLR)",24(1),2082,8,1,4,-,2,79.4,0.8,3,6.95
Fred,"Manchester United, 27, M(C)",22(3),2057,-,-,7,-,1.5,87,0.4,-,6.95
Declan Rice,"West Ham, 21, D(C),DMC",29,2610,-,2,5,-,0.6,86.2,1.4,1,6.95
Salvatore Sirigu,"Torino, 33, GK",25,2250,-,-,4,-,-,65,0.1,2,6.94
Suso,"AC Milan, 26, AM(CLR),FW",15(1),1361,1,2,2,-,1.9,83.2,-,1,6.94
Rodrigo Palacio,"Bologna, 38, AM(CLR),FW",21(4),1915,6,3,3,-,2,77.1,1.8,3,6.94
Danny Ings,"Southampton, 27, AM(C),FW",23(6),2007,15,1,2,-,2.3,57.9,1.1,2,6.94
Joan Jordán,"Sevilla, 25, M(C)",18(5),1540,2,2,5,-,1,87.2,1.2,2,6.94
Ola Aina,"Torino, 23, D(LR),M(LR)",15(5),1457,-,1,6,-,0.4,77.3,1.1,-,6.94
Sergio Ramos,"Real Madrid, 34, D(CR)",25,2220,5,-,7,-,1.2,90.7,2.2,-,6.94
Phil Bardsley,"Burnley, 34, D(LR)",14,1260,-,1,4,-,0.6,63.6,1.9,-,6.94
Víctor Díaz,"Granada, 31, D(R)",25,2177,-,5,3,-,0.5,67.5,2,1,6.94
Jack O'Connell,"Sheffield United, 26, D(C)",28,2520,-,1,3,-,0.5,73.7,4.1,1,6.94
Kasper Dolberg,"Nice, 22, FW",22(1),1895,11,3,2,-,1.8,77.2,0.9,3,6.94
Giovanni Di Lorenzo,"Napoli, 26, D(CR),M(R)",25,2250,2,3,3,-,0.6,88.3,2.3,1,6.94
M'Baye Niang,"Rennes, 25, AM(LR),FW",24(2),2134,10,-,2,-,2.5,68.6,3.4,5,6.94
Enock Kwateng,"Bordeaux, 23, D(R),M(R)",13(1),987,-,1,4,-,0.3,78,2.2,2,6.94
Dominic Calvert-Lewin,"Everton, 23, AM(L),FW",22(5),1942,13,1,7,-,2.4,64.3,4.9,2,6.94
Jorginho,"Chelsea, 28, DMC",23(3),2016,4,2,10,-,0.5,88,0.5,2,6.94
Álvaro Morata,"Atletico Madrid, 27, AM(L),FW",19(4),1625,8,1,3,1,2.5,66,4.3,2,6.94
Damien Da Silva,"Rennes, 31, D(C)",25,2245,1,2,3,-,0.2,85.1,3.3,1,6.94
Walter Benítez,"Nice, 27, GK",26,2340,-,-,-,-,-,82.4,0.4,1,6.94
Okay Yokuslu,"Celta Vigo, 26, D(C),DMC",16,1364,-,1,3,-,0.3,80.4,3.6,1,6.94
Gonzalo Higuaín,"Juventus, 32, FW",16(7),1465,5,4,2,-,2.6,81.5,0.3,1,6.93
Dries Mertens,"Napoli, 32, AM(CLR),FW",12(9),1219,6,4,4,-,2.9,81.5,0.1,2,6.93
Ante Budimir,"Mallorca, 28, FW",25,2058,9,2,6,-,1.6,64.3,4.8,3,6.93
Gabriel,"Lille, 22, D(C)",23(1),2087,1,-,3,-,0.7,82.2,3.5,-,6.93
Ludovic Blas,"Nantes, 22, M(CLR)",22(2),1858,5,1,-,-,1.9,79.2,0.7,3,6.93
Alex Berenguer,"Torino, 24, D(LR),M(CL),FW",13(4),1095,5,1,3,-,1.2,76.5,0.6,1,6.93
Florian Neuhaus,"Borussia M.Gladbach, 23, M(C)",17(4),1552,3,2,5,-,1.5,81.8,0.5,-,6.93
Serhou Guirassy,"Amiens, 24, AM(L),FW",23,1927,9,1,6,-,2,71.3,4.2,1,6.93
Alexander Djiku,"Strasbourg, 25, D(CR),DMC",23(2),2063,1,1,6,-,0.8,86.1,2.5,-,6.93
Jesse Joronen,"Brescia, 27, GK",22,1980,-,-,1,-,-,59.7,0.2,3,6.93
James McArthur,"Crystal Palace, 32, M(CLR)",28,2433,-,3,5,-,0.8,77.8,1.4,-,6.93
Opa Nguette,"Metz, 25, AM(LR),FW",23(3),1843,5,2,1,-,1,81.2,0.7,3,6.93
Marc Cucurella,"Getafe, 21, D(L),M(L)",26,2321,1,4,6,-,0.8,67.1,1.4,1,6.92
Charles Traoré,"Nantes, 28, D(L)",20,1742,-,1,3,-,0.3,74.7,2.1,-,6.92
Timothy Chandler,"Eintracht Frankfurt, 30, D(R),M(LR)",10(4),934,4,1,3,-,1.1,62.8,2.3,1,6.92
Otávio,"Bordeaux, 25, DMC",25,2213,2,3,6,-,0.9,89.5,0.8,-,6.92
Jonas Hector,"FC Koln, 29, D(L),DMC,M(L)",23,1991,4,2,6,-,1.2,79.8,2.3,1,6.92
Toma Basic,"Bordeaux, 23, M(C)",11(4),995,1,3,4,-,1.1,81.5,1.2,-,6.92
Almamy Touré,"Eintracht Frankfurt, 23, D(CR)",13(1),1098,1,3,2,-,0.8,72.4,2.3,-,6.92
Reece James,"Chelsea, 20, D(R),DMC",11(6),1068,-,2,1,-,0.9,87,1.2,1,6.92
Roberto Soriano,"Bologna, 29, AM(CL)",18,1594,3,2,2,1,1.4,86.7,0.9,-,6.92
Patrick Herrmann,"Borussia M.Gladbach, 29, M(LR),FW",11(8),1054,5,5,4,-,1.5,76.5,0.4,2,6.92
Robin Olsen,"Cagliari, 30, GK",16,1465,-,-,-,1,-,62.2,0.3,2,6.92
Andrea Petagna,"SPAL 2013, 24, FW",24(1),2178,11,1,5,-,3.2,74,2.4,2,6.91
Bastian Oczipka,"Schalke 04, 31, D(CL),M(L)",25,2250,-,4,2,-,0.3,78.8,0.8,2,6.91
Josuha Guilavogui,"Wolfsburg, 29, D(C),M(C)",22,1970,-,1,4,-,1,81.5,2.8,-,6.91
Stefan Radu,"Lazio, 33, D(CL)",22,1869,1,-,6,-,0.2,88.5,1.1,-,6.91
Danny da Costa,"Eintracht Frankfurt, 26, D(R),M(R)",11(3),1028,1,3,-,-,1,64.1,1.2,-,6.91
Damián Suárez,"Getafe, 31, D(R)",22,1926,1,4,11,-,0.7,64.3,1.5,2,6.91
Marten de Roon,"Atalanta, 29, DMC",19(3),1738,1,4,10,-,1,86.3,1.2,1,6.91
Nicolò Zaniolo,"Roma, 20, AM(CR)",15(3),1325,4,1,6,-,1.9,81.2,0.4,2,6.91
Fernandinho,"Manchester City, 34, D(CR),DMC",22(1),1998,-,-,6,1,0.5,89.8,2.5,-,6.91
Kerem Demirbay,"Bayer Leverkusen, 26, M(C)",13(4),1118,-,3,1,1,1.4,82.3,0.8,-,6.91
Luka Modric,"Real Madrid, 34, M(C)",14(8),1355,3,4,3,1,1,88.8,0.5,2,6.91
Romain Del Castillo,"Rennes, 24, AM(LR),FW",14(7),1244,2,5,2,-,1.3,79.2,1,1,6.91
Kurt Zouma,"Chelsea, 25, D(CR)",19(3),1804,-,-,5,-,0.5,87.3,4,1,6.90
Marko Grujic,"Hertha Berlin, 23, DMC",20,1665,3,1,5,-,1.4,78.9,3.4,1,6.90
Lewis Dunk,"Brighton, 28, D(C)",27,2430,2,3,9,-,1,87.1,2.9,-,6.90
Philipp Max,"Augsburg, 26, D(L),M(L)",23,2008,7,5,4,-,1.2,68.5,0.7,3,6.90
Joe Gomez,"Liverpool, 22, D(CLR)",14(5),1277,-,-,3,-,0.1,88.4,2.4,-,6.90
Gerard Deulofeu,"Watford, 26, AM(LR),FW",25(3),2109,4,5,3,-,2.3,80.2,-,3,6.90
Alfred Gomis,"Dijon, 26, GK",19,1627,-,-,-,-,-,65.5,0.3,2,6.90
Ander Capa,"Athletic Bilbao, 28, D(R),M(R)",24(1),2143,2,4,10,-,0.6,75.7,1.2,2,6.90
Lucas Tousart,"Lyon, 22, DMC",19(5),1762,2,2,5,-,1.2,84.9,1.9,1,6.90
Darwin Machís,"Granada, 27, AM(L)",13(13),1427,6,3,3,-,2,73.4,0.6,2,6.90
Diogo Jota,"Wolverhampton Wanderers, 23, AM(CL),FW",21(4),1773,6,1,3,-,2.4,78.6,0.8,3,6.89
Wendell,"Bayer Leverkusen, 26, D(CL),M(L)",17(2),1501,-,2,4,1,0.5,85.5,1.3,-,6.89
N'Golo Kanté,"Chelsea, 29, DMC",16(2),1385,3,-,3,-,0.9,83.2,0.8,-,6.89
Alessio Romagnoli,"AC Milan, 25, D(CL)",26,2340,-,-,4,-,0.5,90.3,2.7,1,6.89
Ciaran Clark,"Newcastle United, 30, D(CL)",14,1189,2,-,3,-,0.4,77.3,2.1,-,6.89
Cristian Romero,"Genoa, 21, D(C)",21,1870,-,1,10,-,0.5,88,2.4,-,6.89
John Egan,"Sheffield United, 27, D(C)",27,2419,-,-,2,-,0.6,81.6,3.5,-,6.89
Issiaga Sylla,"Toulouse, 26, D(LR),M(L)",28,2520,-,2,2,-,0.8,75.5,3,-,6.89
Matt Targett,"Aston Villa, 24, D(L),M(L)",20,1694,1,2,3,-,0.3,73,1.1,1,6.89
Lucas Moura,"Tottenham, 27, AM(CLR),FW",18(9),1683,4,2,2,-,1.7,74.2,1.8,-,6.89
Amir Rrahmani,"Verona, 26, D(CL)",25,2239,-,-,4,-,1,80.2,3.3,1,6.88
Frederic Guilbert,"Aston Villa, 25, D(CLR),M(R)",21(2),1900,-,2,7,-,0.3,68.7,1.9,1,6.88
Charles Aránguiz,"Bayer Leverkusen, 30, M(C)",15(3),1419,1,3,1,-,0.6,86.1,0.6,-,6.88
Kenny Lala,"Strasbourg, 28, D(LR),M(R)",22(3),2040,2,1,1,-,0.8,78.6,0.6,1,6.88
Mohamed Simakan,"Strasbourg, 19, D(CR)",17(2),1503,-,-,4,-,0.5,76.9,2.1,1,6.88
Renaud Ripart,"Nimes, 27, D(R),M(LR),FW",23(1),2031,4,2,-,-,2,69.1,3.5,2,6.88
Harvey Barnes,"Leicester, 22, AM(CL)",20(7),1720,6,6,-,-,1.9,78.6,0.9,1,6.88
Ben Mee,"Burnley, 30, D(CL)",29,2610,-,1,7,-,0.6,71.1,4.1,-,6.88
Ismail Jakobs,"FC Koln, 20, AM(L)",14,1199,2,1,3,-,0.8,64.7,1.5,-,6.88
Abdou Diallo,"Paris Saint-Germain, 23, D(CL)",14(2),1203,-,1,4,-,0.3,92.6,1,-,6.88
Roberto Torres,"Osasuna, 31, AM(CLR)",24(2),2074,6,7,1,-,2.5,71.2,0.7,3,6.88
Samuel Kalu,"Bordeaux, 22, M(LR)",15(5),1358,1,1,4,-,2,75.9,1,1,6.88
Cote,"Eibar, 30, D(L)",21,1837,1,1,4,-,0.8,71.2,1.6,2,6.88
Justin Kluivert,"Roma, 20, AM(LR)",17(1),1401,4,1,4,1,1.9,83.4,0.4,-,6.88
Nils Petersen,"Freiburg, 31, FW",20(5),1951,8,2,1,-,1.8,63.1,2.8,1,6.88
Bernd Leno,"Arsenal, 28, GK",28,2520,-,-,2,-,-,71.6,0.3,1,6.88
Fikayo Tomori,"Chelsea, 22, D(CR)",15,1293,1,-,3,-,0.5,87.4,2.3,-,6.88
Charlie Taylor,"Burnley, 26, D(L),M(L)",15(2),1376,-,-,3,-,0.1,66.3,2.4,-,6.88
Zaydou Youssouf,"Saint-Etienne, 20, AM(CR)",9(7),1074,-,-,4,-,0.5,81.4,0.6,-,6.87
Frenkie de Jong,"Barcelona, 22, D(C),DMC",23(3),1994,2,2,1,1,0.2,92,0.5,2,6.87
Ellyes Skhiri,"FC Koln, 24, DMC",22(1),1950,1,3,2,-,0.9,85.9,1.5,2,6.87
Marco Silvestri,"Verona, 29, GK",25,2250,-,-,2,-,-,40.4,0.4,1,6.87
Rubén Rochina,"Levante, 29, M(CLR)",14(5),1263,3,1,4,-,2.4,74.6,0.9,3,6.87
Daniele Baselli,"Torino, 28, M(C)",16,1288,-,2,3,-,0.4,83.1,0.6,1,6.87
Youri Tielemans,"Leicester, 22, M(C)",24(4),2154,3,5,1,-,1.6,82.5,0.8,1,6.87
Senad Lulic,"Lazio, 34, D(L),M(CL)",20,1584,-,2,6,-,0.8,82.5,1.2,-,6.87
Gaëtan Charbonnier,"Brest, 31, AM(C),FW",23(3),2068,4,5,5,-,2,78.5,1.9,3,6.87
Diego Carlos,"Sevilla, 27, D(C)",25,2235,2,-,7,-,0.7,82.6,2.6,1,6.87
Georginio Wijnaldum,"Liverpool, 29, M(CL)",28,2332,3,-,-,-,1,90.9,1,-,6.87
Alessandro Bastoni,"Inter, 20, D(C)",12(2),1136,1,-,5,-,0.4,88.8,2.2,-,6.87
Denys Bain,"Brest, 26, D(C)",13(2),1268,1,-,3,1,0.2,91.2,2.4,-,6.87
Leon Goretzka,"Bayern Munich, 25, M(CR)",8(7),748,3,4,2,-,1.7,86.9,0.7,-,6.86
Maxi Gómez,"Valencia, 23, FW",17(5),1509,9,2,5,-,1.4,63.3,2.6,3,6.86
Gelson Martins,"Monaco, 24, M(R)",20(1),1682,4,1,3,1,1.3,83.7,0.4,-,6.86
Yann Sommer,"Borussia M.Gladbach, 31, GK",25,2250,-,-,-,-,-,80.5,0.3,1,6.86
Calum Chambers,"Arsenal, 25, D(CR),DMC",13(1),1104,1,1,5,-,0.9,82.4,2.6,1,6.86
Tomás Rincón,"Torino, 32, M(CR)",21,1837,1,2,8,-,0.6,83.1,2,-,6.86
Florian Kainz,"FC Koln, 27, AM(CLR)",10(10),1071,2,6,3,-,1.5,70.2,0.2,-,6.86
Rubén García,"Osasuna, 26, AM(CLR),FW",22(2),1866,6,2,5,-,2,75.6,0.8,1,6.86
Vicente Iborra,"Villarreal, 32, M(C)",26,2127,-,2,9,-,0.5,85.6,3.1,-,6.86
Samu Castillejo,"AC Milan, 25, AM(CLR)",13(4),963,-,2,2,1,1.3,81.3,0.9,1,6.86
Ayoze Pérez,"Leicester, 26, AM(CLR),FW",21(4),1596,7,4,-,-,1.5,79.2,0.8,-,6.86
José Callejón,"Napoli, 33, M(LR)",19(4),1652,2,6,2,-,1.2,87.9,0.4,-,6.86
Nuri Sahin,"Werder Bremen, 31, M(C)",16,1258,-,3,3,1,0.8,79.2,1.4,1,6.86
Gianluca Mancini,"Roma, 23, D(C),DMC",22(1),2007,1,-,10,1,0.7,88.4,2.4,1,6.86
Thiago Mendes,"Lyon, 28, D(R),M(CR)",21(1),1817,-,6,2,1,1.2,85.8,0.6,-,6.86
Dante,"Nice, 36, D(C)",21,1890,1,-,7,-,0.9,91.2,2.4,1,6.86
Denis Suárez,"Celta Vigo, 26, AM(CLR)",16(4),1325,1,3,3,-,0.8,81.8,0.2,1,6.86
Kingsley Ehizibue,"FC Koln, 24, D(R),M(R)",22(1),1821,1,1,5,1,0.5,77,1.2,1,6.86
Adam Masina,"Watford, 26, D(L),M(L)",13(4),1222,1,-,3,-,0.4,64.3,2.9,-,6.86
Alexis Claude Maurice,"Nice, 21, AM(CL)",19(3),1633,1,1,2,-,1.7,87.2,0.5,-,6.86
Seko Fofana,"Udinese, 24, M(C)",16(5),1461,1,4,2,-,1.6,87.4,0.2,2,6.85
Christian Kabasele,"Watford, 29, D(C)",18(1),1577,-,1,1,2,0.3,74.3,2.4,1,6.85
Romain Thomas,"Angers, 31, D(C)",27,2342,1,2,4,-,0.3,85.5,2.9,3,6.85
Mathieu Debuchy,"Saint-Etienne, 34, D(CR),M(R)",20(1),1770,1,1,2,-,0.6,73.2,4.4,-,6.85
Joaquín Fernández,"Real Valladolid, 23, D(C),DMC",13(1),1165,1,-,7,-,0.6,78.9,3.3,1,6.85
Aaron Ramsey,"Juventus, 29, M(CR)",9(6),798,3,1,-,-,1.4,87.6,0.7,1,6.85
Clément Lenglet,"Barcelona, 24, D(C)",19,1691,2,1,5,2,0.4,91.7,2.3,-,6.85
Jan Vertonghen,"Tottenham, 32, D(CL)",18(1),1546,1,1,2,-,0.2,82.7,2.6,-,6.85
Gonçalo Paciência,"Eintracht Frankfurt, 25, FW",15(7),1268,7,3,4,-,2.3,67.3,2.2,1,6.85
Benoit Badiashile Mukinayi,"Monaco, 19, D(C)",16,1413,-,-,-,-,0.6,85.3,3.5,-,6.85
Sebastian Rudy,"Hoffenheim, 30, D(R),M(CR)",24,2103,1,3,8,-,0.8,81,0.6,1,6.85
Etrit Berisha,"SPAL 2013, 31, GK",26,2340,-,-,1,-,-,66,0.3,-,6.85
Héctor Herrera,"Atletico Madrid, 29, M(C)",9(5),833,-,1,-,-,0.9,88.2,1.1,-,6.85
Karim Onisiwo,"Mainz 05, 28, AM(LR),FW",11(12),1162,4,5,3,-,1.3,64.7,1.8,2,6.85
Yerry Mina,"Everton, 25, D(C)",23(2),2085,2,1,3,-,1.1,83.7,4.2,1,6.85
Luca Cigarini,"Cagliari, 33, M(C)",18(2),1533,-,4,5,-,0.4,83.7,0.5,1,6.85
Rubén Alcaraz,"Real Valladolid, 28, DMC",13(4),1231,1,1,7,-,1.2,80.7,1.8,1,6.85
Riccardo Gagliolo,"Parma Calcio 1913, 29, D(CL)",21(1),1784,2,1,7,-,0.8,75.9,0.7,1,6.85
Erik Thommy,"Fortuna Duesseldorf, 25, M(CLR)",17(8),1571,5,4,3,-,1.4,75.3,0.4,1,6.85
Joseba Zaldua,"Real Sociedad, 27, D(R)",23(1),2053,-,2,6,-,0.3,77.4,2.2,-,6.85
Sebastiaan Bornauw,"FC Koln, 21, D(C)",21,1883,5,-,5,-,0.7,80.7,2.7,2,6.85
Rafael Tolói,"Atalanta, 29, D(C)",20(2),1830,1,5,5,-,0.9,81.9,1.5,-,6.85
Ferran Torres,"Valencia, 20, AM(R)",20(5),1776,4,4,4,-,1.1,79.6,1.2,1,6.85
Jamilu Collins,"Paderborn, 25, D(L)",21,1859,1,2,6,1,0.8,73.7,1,1,6.85
Jonathan Ikoné,"Lille, 21, AM(CLR),FW",26(2),2075,3,6,6,-,1.3,78.2,0.3,-,6.85
Fabio Quagliarella,"Sampdoria, 37, FW",21,1816,9,2,2,-,3.8,66.8,1.4,1,6.85
Fabian Schär,"Newcastle United, 28, D(C)",15(3),1359,2,-,4,-,1.1,72.1,1.5,1,6.85
Robin Knoche,"Wolfsburg, 27, D(C)",17(1),1551,1,-,2,-,0.2,82.3,2.3,-,6.84
Federico Valverde,"Real Madrid, 21, M(CL)",14(8),1266,2,4,1,-,0.9,87.3,0.9,-,6.84
Jetro Willems,"Newcastle United, 26, D(L),DMC,M(L)",18(1),1498,2,2,-,-,0.7,76.9,1.2,1,6.84
Joshua King,"Bournemouth, 28, AM(CLR),FW",17(2),1467,4,2,-,-,0.9,69.8,2.4,1,6.84
Federico Fernández,"Newcastle United, 31, D(C)",20(3),1808,2,1,4,-,0.4,73.8,1.8,2,6.84
Jonathan Schmid,"Freiburg, 29, D(R),M(LR)",24,2153,4,1,1,-,1.5,72.7,1,2,6.84
Axel Disasi,"Reims, 22, D(C)",27,2430,1,-,3,-,0.6,84.6,2.8,-,6.84
Gareth Bale,"Real Madrid, 30, M(CLR),FW",11(3),992,2,2,2,1,2.2,79.6,1.9,-,6.84
Jonathan Tah,"Bayer Leverkusen, 24, D(C)",19(2),1763,-,1,4,1,0.3,89.4,2.6,1,6.84
Emerson,"Real Betis, 21, D(R),M(R)",23,2026,3,5,8,-,1,76.8,2,-,6.84
